time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name
2022-05-05 12:52:35,2500.0,-1.653,283.153,-0.003306,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:52:39,1985.8207,-1.811,283.14,-0.003622,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:52:43,1577.3937,-2.108,283.154,-0.004216,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:52:47,1252.9686,-2.509,283.147,-0.005018,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:52:51,995.2686,-2.983,283.153,-0.005966,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:52:55,790.5701,-3.505,283.156,-0.00701,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:52:59,627.9723,-4.102,283.133,-0.008204000000000001,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:03,498.8163,-4.74,283.148,-0.00948,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:07,396.2239,-5.398,283.142,-0.010796,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:11,314.7319,-6.044,283.142,-0.012088,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:15,250.0005,-6.641,283.141,-0.013282,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:19,198.5825,-7.128,283.144,-0.014256,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:22,157.7397,-7.482,283.146,-0.014964,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:26,125.2971,-7.629,283.147,-0.015257999999999999,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:30,99.5271,-7.53,283.148,-0.01506,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:34,79.0571,-7.194,283.142,-0.014388,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:38,62.7973,-6.564,283.151,-0.013128,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:42,49.8817,-5.761,283.138,-0.011522000000000001,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:46,39.6224,-4.805,283.134,-0.009609999999999999,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:50,31.4732,-3.843,283.132,-0.007686,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:54,25.0001,-2.959,283.133,-0.0059180000000000005,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:53:58,19.8582,-2.186,283.141,-0.004372,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:02,15.774,-1.553,283.145,-0.003106,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:06,12.5297,-1.06,283.145,-0.00212,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:10,9.9527,-0.708,283.155,-0.001416,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:14,7.9057,-0.4317,283.155,-0.0008634,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:18,6.2797,-0.2783,283.147,-0.0005566,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:22,4.9882,-0.1952,283.16,-0.0003904,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:26,3.9622,-0.141,283.147,-0.00028199999999999997,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:30,3.1473,-0.0536,283.146,-0.0001072,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:34,2.5,-0.005,283.142,-1e-05,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:37,1.9858,-0.0421,283.147,-8.42e-05,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:41,1.5774,-0.0665,283.144,-0.000133,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-05 12:54:45,1.253,-0.0946,283.14,-0.00018920000000000002,1,200,20.0,-1.0,-8.0,3.5,3.0,КТ117№1 п1(база 2)
