time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name
2022-04-29 14:21:21,2500.0,-0.8263,263.283,-0.00041315000000000004,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:25,1985.8207,-0.8488,263.282,-0.0004244,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:29,1577.3937,-0.8682,263.278,-0.0004341,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:33,1252.9686,-1.008,263.271,-0.000504,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:37,995.2686,-1.136,263.277,-0.0005679999999999999,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:41,790.5701,-1.245,263.283,-0.0006225,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:45,627.9723,-1.346,263.274,-0.0006730000000000001,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:49,498.8163,-1.433,263.271,-0.0007165,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:53,396.2239,-1.798,263.283,-0.0008990000000000001,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:21:57,314.7319,-1.93,263.286,-0.0009649999999999999,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:01,250.0005,-2.157,263.279,-0.0010785,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:05,198.5825,-2.415,263.272,-0.0012075,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:09,157.7397,-2.71,263.275,-0.001355,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:13,125.2971,-3.05,263.276,-0.0015249999999999999,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:17,99.5271,-3.269,263.267,-0.0016345,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:21,79.0571,-3.22,263.274,-0.00161,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:25,62.7973,-3.61,263.275,-0.001805,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:29,49.8817,-3.988,263.271,-0.001994,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:33,39.6224,-4.173,263.273,-0.0020865,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:36,31.4732,-4.207,263.271,-0.0021035,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:40,25.0001,-4.044,263.261,-0.002022,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:44,19.8582,-3.937,263.263,-0.0019684999999999998,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:48,15.774,-3.653,263.268,-0.0018265,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:52,12.5297,-3.283,263.264,-0.0016415,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:22:56,9.9527,-2.897,263.28,-0.0014485,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:00,7.9057,-2.488,263.27,-0.001244,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:04,6.2797,-2.051,263.269,-0.0010255000000000002,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:08,4.9882,-1.528,263.276,-0.000764,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:12,3.9622,-1.073,263.281,-0.0005365,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:16,3.1473,-0.8459,263.268,-0.00042295,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:20,2.5,-0.7068,263.265,-0.00035339999999999997,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:24,1.9858,-0.3596,263.269,-0.00017979999999999998,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:28,1.5774,-0.2879,263.278,-0.00014395,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
2022-04-29 14:23:32,1.253,-0.1973,263.271,-9.865e-05,1,50,20.0,-8.0,-11.0,3.5,3.0,КТ117№1 п1(база 2)
