time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name
2019-12-12 14:46:23,2500.0,1.632,283.477,0.001632,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:27,2443.0925,1.604,283.483,0.0016040000000000002,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:31,2387.4812,1.596,283.478,0.001596,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:35,2333.1355,1.592,283.469,0.001592,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:39,2280.0269,1.599,283.481,0.001599,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:43,2228.1272,1.64,283.474,0.00164,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:47,2177.4089,1.661,283.498,0.001661,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:51,2127.845,1.63,283.489,0.00163,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:55,2079.4094,1.652,283.505,0.0016519999999999998,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:46:59,2032.0763,1.67,283.496,0.0016699999999999998,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:03,1985.8207,1.683,283.487,0.001683,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:07,1940.6179,1.689,283.496,0.001689,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:11,1896.4441,1.679,283.5,0.0016790000000000002,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:15,1853.2758,1.659,283.499,0.001659,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:19,1811.0901,1.686,283.507,0.001686,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:23,1769.8646,1.693,283.488,0.001693,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:27,1729.5776,1.685,283.483,0.001685,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:31,1690.2078,1.686,283.501,0.001686,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:35,1651.7339,1.696,283.488,0.001696,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:38,1614.1359,1.721,283.482,0.001721,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:42,1577.3937,1.754,283.483,0.001754,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:46,1541.4879,1.725,283.478,0.0017250000000000002,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:50,1506.3994,1.707,283.476,0.001707,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:54,1472.1096,1.727,283.478,0.001727,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-12 14:47:58,1438.6003,1.75,283.475,0.00175,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
