time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name
2019-12-26 13:53:40,2000.0,1.684,283.491,0.001684,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:53:44,1954.4741,1.664,283.485,0.001664,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:53:47,1909.985,1.669,283.493,0.0016690000000000001,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:53:51,1866.5084,1.685,283.493,0.001685,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:53:55,1824.0215,1.73,283.484,0.00173,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:53:59,1782.5017,1.723,283.486,0.0017230000000000001,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:03,1741.9271,1.721,283.489,0.001721,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:07,1702.276,1.728,283.489,0.001728,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:11,1663.5276,1.734,283.492,0.001734,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:15,1625.6611,1.762,283.481,0.0017620000000000001,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:19,1588.6565,1.771,283.475,0.001771,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:23,1552.4944,1.777,283.475,0.001777,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:27,1517.1553,1.778,283.475,0.001778,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
2019-12-26 13:54:31,1482.6206,1.791,283.471,0.0017909999999999998,1,100,10.0,-4.0,-5.0,3.5,3.0,1564ЛЕ1№1 п1
