time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name
2022-08-02 16:52:04,2500.0,5.741,262.946,0.0005740999999999999,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:08,2443.0925,6.295,262.952,0.0006295,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:12,2387.4812,6.611,262.96,0.0006611,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:16,2333.1355,6.489,262.941,0.0006489,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:20,2280.0269,5.961,262.948,0.0005961,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:24,2228.1272,6.293,262.958,0.0006293000000000001,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:28,2177.4089,6.409,262.948,0.0006409,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:32,2127.845,6.321,262.955,0.0006321,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:36,2079.4094,6.271,262.95,0.0006271,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:40,2032.0763,6.202,262.951,0.0006202,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:44,1985.8207,6.244,262.952,0.0006244,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:48,1940.6179,6.085,262.942,0.0006085,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:52,1896.4441,5.765,262.951,0.0005765,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:52:56,1853.2758,5.742,262.946,0.0005742,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:00,1811.0901,5.713,262.941,0.0005713,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:04,1769.8646,6.04,262.943,0.000604,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:08,1729.5776,6.141,262.951,0.0006141,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:12,1690.2078,6.17,262.944,0.000617,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:16,1651.7339,6.094,262.953,0.0006094000000000001,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:20,1614.1359,6.288,262.952,0.0006288,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:24,1577.3937,6.008,262.953,0.0006008,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:27,1541.4879,5.767,262.945,0.0005767000000000001,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:31,1506.3994,5.589,262.946,0.0005589000000000001,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:35,1472.1096,5.44,262.944,0.000544,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:39,1438.6003,5.181,262.95,0.0005181,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:43,1405.8538,5.565,262.95,0.0005565,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:47,1373.8527,5.715,262.942,0.0005715,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:51,1342.58,5.951,262.945,0.0005951,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:55,1312.0192,6.062,262.936,0.0006062,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:53:59,1282.1541,6.083,262.942,0.0006083,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:03,1252.9686,5.59,262.949,0.000559,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:07,1224.4476,5.157,262.94,0.0005157,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:11,1196.5758,5.033,262.95,0.0005033,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:15,1169.3385,5.449,262.948,0.0005449,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:19,1142.7211,5.724,262.946,0.0005724,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:23,1116.7096,5.706,262.944,0.0005706,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:27,1091.2902,5.836,262.946,0.0005836,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
2022-08-02 16:54:31,1066.4495,5.091,262.944,0.0005091000000000001,1,10,10.0,-3.0,-4.0,3.5,3.0,1564ЛЕ1№1 п1
