time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:45:16    47.887;  10.3511;  283.501;
14:45:19    47.8862;  10.3472;  283.497;
14:45:23    47.887;  10.3515;  283.501;
14:45:26    47.8873;  10.3527;  283.503;
14:45:30    47.887;  10.3515;  283.501;
14:45:33    47.8872;  10.3523;  283.502;
14:45:37    47.8876;  10.3545;  283.505;
14:45:40    47.8865;  10.3485;  283.498;
14:45:43    47.8852;  10.3412;  283.491;
14:45:47    47.8868;  10.3501;  283.5;
14:45:50    47.886;  10.3457;  283.496;
14:45:54    47.885;  10.3403;  283.49;
14:45:57    47.8862;  10.3467;  283.497;
14:46:00    47.8878;  10.3559;  283.506;
14:46:04    47.8887;  10.3608;  283.511;
14:46:07    47.8824;  10.3263;  283.476;
14:46:11    47.8843;  10.3366;  283.487;
14:46:14    47.882;  10.3237;  283.474;
14:46:18    47.8827;  10.3275;  283.477;
14:46:21    47.8825;  10.3267;  283.477;
14:46:24    47.8836;  10.3329;  283.483;
14:46:28    47.8817;  10.3222;  283.472;
14:46:31    47.8828;  10.3283;  283.478;
14:46:35    47.8811;  10.319;  283.469;
14:46:38    47.8833;  10.3311;  283.481;
14:46:42    47.8821;  10.3242;  283.474;
14:46:45    47.8864;  10.348;  283.498;
14:46:48    47.8848;  10.339;  283.489;
14:46:52    47.8858;  10.3449;  283.495;
14:46:55    47.8877;  10.355;  283.505;
14:46:59    47.8861;  10.3461;  283.496;
14:47:02    47.8843;  10.3366;  283.487;
14:47:05    47.8861;  10.3464;  283.496;
14:47:09    47.8868;  10.3502;  283.5;
14:47:12    47.8867;  10.3495;  283.499;
14:47:16    47.8852;  10.3412;  283.491;
14:47:19    47.8881;  10.3574;  283.507;
14:47:23    47.8846;  10.3382;  283.488;
14:47:26    47.8838;  10.3335;  283.483;
14:47:29    47.887;  10.3515;  283.501;
14:47:33    47.8846;  10.3379;  283.488;
14:47:36    47.8834;  10.3318;  283.482;
14:47:40    47.8837;  10.3331;  283.483;
14:47:43    47.8846;  10.338;  283.488;
14:47:46    47.8827;  10.3277;  283.478;
14:47:50    47.8825;  10.3264;  283.476;
14:47:53    47.8828;  10.328;  283.478;
14:47:57    47.8822;  10.3251;  283.475;
14:48:00    47.8822;  10.3251;  283.475;
14:48:04    47.8857;  10.3443;  283.494;
14:48:07    47.8841;  10.3354;  283.485;
14:48:10    47.8829;  10.3287;  283.479;
14:48:14    47.8836;  10.3324;  283.482;
14:48:17    47.8835;  10.3319;  283.482;
14:48:21    47.8849;  10.3397;  283.49;
14:48:24    47.8823;  10.3256;  283.476;
14:48:28    47.8818;  10.3225;  283.472;
14:48:31    47.8833;  10.3309;  283.481;
