time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:53:03    47.884;  10.3346;  283.485;
13:53:06    47.884;  10.335;  283.485;
13:53:09    47.8842;  10.336;  283.486;
13:53:13    47.8834;  10.3314;  283.481;
13:53:16    47.8841;  10.3356;  283.486;
13:53:20    47.8822;  10.3248;  283.475;
13:53:23    47.8831;  10.3299;  283.48;
13:53:27    47.8839;  10.3343;  283.484;
13:53:30    47.8843;  10.3366;  283.487;
13:53:33    47.8849;  10.3398;  283.49;
13:53:37    47.8851;  10.3409;  283.491;
13:53:40    47.8852;  10.3413;  283.491;
13:53:44    47.884;  10.3346;  283.485;
13:53:47    47.8855;  10.3431;  283.493;
13:53:51    47.8855;  10.3429;  283.493;
13:53:54    47.8839;  10.3342;  283.484;
13:53:57    47.8841;  10.3356;  283.486;
13:54:01    47.8848;  10.3391;  283.489;
13:54:04    47.8847;  10.3385;  283.489;
13:54:08    47.8829;  10.3285;  283.479;
13:54:11    47.8853;  10.3417;  283.492;
13:54:14    47.8834;  10.3313;  283.481;
13:54:18    47.8822;  10.3249;  283.475;
13:54:21    47.8821;  10.3246;  283.475;
13:54:25    47.8823;  10.3254;  283.475;
13:54:28    47.8815;  10.321;  283.471;
13:54:32    47.8828;  10.3282;  283.478;
13:54:35    47.8816;  10.3218;  283.472;
13:54:38    47.8844;  10.3372;  283.487;
13:54:42    47.8823;  10.3253;  283.475;
13:54:45    47.882;  10.3239;  283.474;
13:54:49    47.8825;  10.3268;  283.477;
13:54:52    47.8814;  10.3206;  283.471;
13:54:55    47.8814;  10.3204;  283.47;
13:54:59    47.8831;  10.3299;  283.48;
13:55:02    47.8826;  10.3272;  283.477;
13:55:06    47.8829;  10.3289;  283.479;
13:55:09    47.8832;  10.3306;  283.481;
13:55:13    47.8833;  10.3312;  283.481;
13:55:16    47.8835;  10.332;  283.482;
13:55:19    47.8842;  10.3357;  283.486;
13:55:23    47.8847;  10.3388;  283.489;
13:55:26    47.8846;  10.3384;  283.488;
13:55:30    47.8857;  10.3442;  283.494;
13:55:33    47.8836;  10.3324;  283.482;
13:55:37    47.8841;  10.3355;  283.485;
13:55:40    47.8823;  10.3257;  283.476;
13:55:43    47.8846;  10.3381;  283.488;
13:55:47    47.8852;  10.3417;  283.492;
13:55:50    47.8848;  10.339;  283.489;
13:55:54    47.8843;  10.3364;  283.486;
13:55:57    47.8822;  10.3248;  283.475;
13:56:00    47.8844;  10.3372;  283.487;
13:56:04    47.8858;  10.3445;  283.495;
13:56:07    47.8842;  10.336;  283.486;
13:56:11    47.8838;  10.3338;  283.484;
13:56:14    47.8842;  10.3358;  283.486;
13:56:18    47.8835;  10.3322;  283.482;
13:56:21    47.8858;  10.3444;  283.494;
13:56:24    47.8834;  10.3315;  283.482;
13:56:28    47.8847;  10.3385;  283.488;
13:56:31    47.8839;  10.3342;  283.484;
13:56:35    47.8827;  10.3276;  283.478;
13:56:38    47.8829;  10.3285;  283.479;
13:56:42    47.8843;  10.3364;  283.486;
13:56:45    47.8833;  10.3312;  283.481;
13:56:49    47.8838;  10.3335;  283.483;
13:56:52    47.8842;  10.3358;  283.486;
13:56:55    47.8839;  10.3343;  283.484;
13:56:59    47.8852;  10.3413;  283.491;
13:57:02    47.8857;  10.3439;  283.494;
13:57:05    47.8826;  10.327;  283.477;
13:57:09    47.8849;  10.3396;  283.49;
13:57:12    47.8839;  10.3343;  283.484;
13:57:16    47.8842;  10.336;  283.486;
13:57:19    47.8845;  10.3377;  283.488;
13:57:22    47.8846;  10.3383;  283.488;
13:57:26    47.8861;  10.3464;  283.496;
13:57:29    47.8851;  10.3409;  283.491;
13:57:33    47.8829;  10.3287;  283.479;
13:57:36    47.8847;  10.3386;  283.489;
13:57:40    47.8842;  10.3358;  283.486;
13:57:43    47.886;  10.3458;  283.496;
13:57:46    47.8845;  10.3375;  283.487;
13:57:50    47.8838;  10.3338;  283.484;
13:57:53    47.883;  10.3294;  283.479;
13:57:57    47.8852;  10.3414;  283.491;
13:58:00    47.8847;  10.3387;  283.489;
13:58:03    47.8865;  10.3485;  283.499;
13:58:07    47.8845;  10.3378;  283.488;
13:58:10    47.8851;  10.341;  283.491;
13:58:14    47.8841;  10.3356;  283.486;
13:58:17    47.8844;  10.337;  283.487;
13:58:21    47.8849;  10.3398;  283.49;
13:58:24    47.8854;  10.3426;  283.493;
13:58:28    47.886;  10.3457;  283.496;
13:58:31    47.8863;  10.3472;  283.497;
13:58:34    47.8842;  10.336;  283.486;
13:58:38    47.8866;  10.3489;  283.499;
13:58:41    47.8838;  10.3338;  283.484;
13:58:45    47.8831;  10.3301;  283.48;
13:58:48    47.8854;  10.3425;  283.492;
13:58:51    47.8851;  10.341;  283.491;
13:58:55    47.885;  10.3401;  283.49;
13:58:58    47.8831;  10.33;  283.48;
13:59:02    47.8855;  10.3433;  283.493;
