time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name
2022-05-06 11:04:58,2500.0,-2.962,283.16,-0.0029620000000000002,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:02,1985.8207,-3.09,283.155,-0.00309,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:06,1577.3937,-3.359,283.157,-0.003359,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:10,1252.9686,-3.717,283.143,-0.0037170000000000003,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:14,995.2686,-4.068,283.151,-0.004068,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:18,790.5701,-4.412,283.151,-0.004412,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:22,627.9723,-4.726,283.147,-0.004726,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:25,498.8163,-4.987,283.15,-0.004987,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:29,396.2239,-5.196,283.157,-0.005196,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:33,314.7319,-5.324,283.157,-0.005324,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:37,250.0005,-5.35,283.152,-0.00535,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:41,198.5825,-5.206,283.155,-0.0052060000000000006,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:45,157.7397,-4.956,283.149,-0.004956,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:49,125.2971,-4.595,283.156,-0.004595,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:53,99.5271,-4.188,283.153,-0.004188,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:05:57,79.0571,-3.708,283.141,-0.0037080000000000004,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:01,62.7973,-3.185,283.15,-0.003185,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:05,49.8817,-2.636,283.146,-0.0026360000000000003,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:09,39.6224,-2.12,283.147,-0.00212,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:13,31.4732,-1.617,283.153,-0.001617,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:17,25.0001,-1.227,283.14,-0.001227,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:21,19.8582,-0.8936,283.15,-0.0008935999999999999,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:25,15.774,-0.6148,283.147,-0.0006148,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:29,12.5297,-0.4478,283.148,-0.0004478,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:33,9.9527,-0.3487,283.15,-0.0003487,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:37,7.9057,-0.2713,283.139,-0.0002713,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:41,6.2797,-0.2188,283.148,-0.0002188,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:44,4.9882,-0.1308,283.152,-0.0001308,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:48,3.9622,-0.1205,283.143,-0.0001205,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:52,3.1473,-0.1234,283.149,-0.0001234,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:06:56,2.5,-0.126,283.147,-0.000126,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:07:00,1.9858,-0.1831,283.154,-0.0001831,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:07:04,1.5774,-0.1326,283.156,-0.0001326,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
2022-05-06 11:07:08,1.253,-0.1376,283.154,-0.0001376,1,100,20.0,-1.0,-2.0,3.5,3.0,КТ117№1 п1(база 2)
